food_id,food_name,food_name_clean,calories_100g,protein_100g,fat_100g,carbohydrate_100g,image_url,source,zero_calorie_flag,calorie_inconsistent_flag,calorie_macro_diff,cooking_category,main_ingredient,meal_time,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,confidence,allergen_sources,label_sources,allergen_match_count,merge_status,food_category,food_category_source,base_ingredient,base_ingredient_tags,recipe_reference_match,recipe_reference_source,recipe_reference_title,recipe_ingredients_reference,suitable_breakfast,suitable_lunch,suitable_dinner,meal_time_tags,primary_meal_time,feature_rule_version,context_correction_notes,menu_reference_match,menu_reference_source,menu_reference_title,menu_reference_category,menu_reference_meal_time,ingredient_only_flag,raw_ingredient_flag,is_recommendable_food,recommendation_item_type,recommendation_confidence,recommendation_exclusion_reason,halal_status,is_halal_candidate,contains_non_halal_ingredient,non_halal_ingredient_tags,halal_review_reason,halal_confidence,halal_rule_version,menu_ready_rule_version
FD0021,arbei,arbei,37.0,0.8,0.5,8.3,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,indonesian_food_nutrition_dataset,0,0,-3.9,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,fallback,buah,,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0022,ares sayur,ares sayur,113.0,0.9,7.2,11.2,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,sayuran,keyword,sayuran,sayuran,False,,,,False,True,True,lunch|dinner,dinner,food_context_rules_v1,vegetable_keyword,False,,,,,False,False,True,vegetable,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0024,arwan sirsir,arwan sirsir,277.0,2.4,25.0,10.7,https://scontent.fcgk35-1.fna.fbcdn.net/v/t1.6435-9/121695429_676597869941401_1458702638921645964_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=__IwAVKho7AAX9vwknv&_nc_ht=scontent.fcgk35-1.fna&oh=00_AfBzshz2zrHYSwZvSOBel1XuorFB4ySKktNdgOj7dB8Jng&oe=649DFFD5,indonesian_food_nutrition_dataset,0,0,-0.4,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lainnya,fallback,unknown,,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,,False,,,,,False,False,True,local_food_or_menu,low,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0029,asinan bogor sayuran,asinan bogor sayuran,98.0,3.9,2.6,14.8,https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,other,other,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lainnya,fallback,unknown,,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,,False,,,,,False,False,True,menu,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0030,ayam,ayam,302.0,18.2,25.0,0.0,https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg,indonesian_food_nutrition_dataset,0,0,4.2,other,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,keyword,ayam,ayam,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,protein_dish,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0031,ayam goreng kentuckysayap,ayam goreng kentuckysayap,297.0,35.9,15.2,1.6,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,indonesian_food_nutrition_dataset,0,0,10.2,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0032,ayam ampela goreng,ayam ampela goreng,270.0,32.3,11.2,9.9,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,indonesian_food_nutrition_dataset,0,0,0.4,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,False,,,,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0034,ayam goreng church texa sayap,ayam goreng church texa sayap,295.0,34.0,16.0,1.5,https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png,indonesian_food_nutrition_dataset,0,0,9.0,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0035,ayam goreng church texas dada,ayam goreng church texas dada,338.0,35.2,20.6,0.4,https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1,indonesian_food_nutrition_dataset,0,0,10.2,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
FD0036,ayam goreng kalasan paha,ayam goreng kalasan paha,275.0,37.4,12.2,1.3,https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg,indonesian_food_nutrition_dataset,0,0,10.4,gorengan,ayam,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,lauk_hewani,orang_a_cooking_category,ayam,ayam,True,indonesian_food_recipes,ayam goreng,ayam rebus sebentar ngurangin lemaknya bumbu bawang putih geprek bawang merah geprek kunyit biji ketumbar daun salam daun jeruk serai geprek garam,False,True,True,lunch|dinner,lunch,food_context_rules_v1,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,menu_ready_filter_v1
