food_id,food_name,food_name_clean,calories_100g,protein_100g,fat_100g,carbohydrate_100g,image_url,source,zero_calorie_flag,calorie_inconsistent_flag,calorie_macro_diff,cooking_category,dish_type,main_ingredient,meal_time,contains_gluten,contains_dairy,contains_nuts,contains_peanut,contains_seafood,contains_egg,contains_soy,contains_celery,contains_mustard,contains_sesame,contains_sulfite,contains_other,contains_unknown,confidence,allergen_sources,label_sources,allergen_match_count,merge_status,food_category,meal_component,food_category_source,base_ingredient,base_ingredient_tags,recipe_reference_match,recipe_reference_source,recipe_reference_title,recipe_ingredients_reference,suitable_breakfast,suitable_lunch,suitable_dinner,meal_time_tags,primary_meal_time,feature_rule_version,context_correction_notes,menu_reference_match,menu_reference_source,menu_reference_title,menu_reference_category,menu_reference_meal_time,ingredient_only_flag,raw_ingredient_flag,is_recommendable_food,recommendation_item_type,recommendation_confidence,recommendation_exclusion_reason,halal_status,is_halal_candidate,contains_non_halal_ingredient,non_halal_ingredient_tags,halal_review_reason,halal_confidence,halal_rule_version,menu_ready_rule_version,pairing_group,pairing_role,pairing_notes,pairing_suitability_notes,cleaning_action,cleaning_reason,meal_template_role,meal_combo_valid,image_url_status,image_url_source,image_url_rule_version
FD0262,mangga segar,mangga segar,52.0,0.7,0.0,12.3,https://upload.wikimedia.org/wikipedia/commons/c/c9/Avocado_Hass_-_single_and_halved.jpg,indonesian_food_nutrition_dataset,0,0,0.0,mentah_segar,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0263,manggis,manggis,63.0,0.6,0.6,15.6,https://res.cloudinary.com/dk0z4ums3/image/upload/v1645702972/attached_image/manfaat-buah-manggis-untuk-kesehatan-yang-sayang-dilewatkan.jpg,indonesian_food_nutrition_dataset,0,0,-7.2,other,olahan,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0264,markisa segar,markisa segar,144.0,3.5,1.2,29.8,https://sc04.alicdn.com/kf/U9a58688525d24e25a10c656a5b19874cy.jpg,indonesian_food_nutrition_dataset,0,0,0.0,mentah_segar,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0265,markisa squash,markisa squash,217.0,2.5,1.0,49.6,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2021/02/16/resep-squash-markisa-mint-minum-20210216051340.jpg,indonesian_food_nutrition_dataset,0,0,-0.4,other,olahan,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0266,martabak manis,martabak manis,265.3,4.7,5.5,49.3,https://tasteofnusa.com/wp-content/uploads/2022/03/martabak-manis-12-720x720.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,other,olahan,ikan,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,2,not_matched,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,food_category_fix_v1: lainnya→karbohidrat_pokok,False,,,,,False,False,True,menu,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,ok,original,google_image_refresh_v1
FD0267,martabak india,martabak india,153.0,4.5,4.2,24.3,https://i0.wp.com/resepkoki.id/wp-content/uploads/2022/08/Resep-Martabak-Kari.jpg?fit=996%2C1328&ssl=1,indonesian_food_nutrition_dataset,0,0,0.0,other,olahan,ikan,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,2,not_matched,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,food_category_fix_v1: lainnya→karbohidrat_pokok,False,,,,,False,False,True,menu,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,ok,original,google_image_refresh_v1
FD0268,martabak mesir,martabak mesir,278.0,5.1,8.6,45.0,https://upload.wikimedia.org/wikipedia/commons/5/5c/Snack_Dessert.jpg,indonesian_food_nutrition_dataset,0,0,0.2,other,olahan,telur,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,3,not_matched,lauk_hewani,lauk_hewani,consistent_meal_component_taxonomy_v1,kambing,kambing,True,indonesian_food_recipes,martabak mesir,kulit tepung terigu cakra telur air margarin dicairkan minyak celupan garam isi daging giling dicincang halus bawang bombai diiris batang daun bawang diiris halus batang seledri diiris halus telur bumbu halus bawang merah bawang putih bumbu kari bubuk bumbu kambing kuah kecap manis gula pasir garam cabe merah potong cabe rawit potong tomat dipotong bawang bombai diiris tipis asam jawa peras airnya air,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0269,martabak telur,martabak telur,200.0,8.9,5.1,29.5,https://upload.wikimedia.org/wikipedia/commons/5/5c/Snack_Dessert.jpg,indonesian_food_nutrition_dataset,0,0,0.5,other,olahan,telur,"lunch,dinner",False,False,False,False,False,True,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,1,exact_name,lauk_hewani,lauk_hewani,consistent_meal_component_taxonomy_v1,telur,telur,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,animal_base_telur,False,,,,,False,False,True,menu,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0270,melon segar,melon segar,37.0,0.6,0.4,7.8,https://asset.kompas.com/crops/6GJGDA9CwVlnWtfhcImRgwyoj3Y=/0x0:1811x1207/750x500/data/photo/2022/09/22/632c0d9940fcd.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,mentah_segar,mentah_segar,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
FD0271,mie aceh rebus,mie aceh rebus,113.0,3.0,3.2,18.1,https://resepkoki.id/wp-content/uploads/2021/03/Resep-Mie-Aceh.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,rebus_kukus,rebus_kukus,terigu,lunch,True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,2,exact_name,lauk_hewani,lauk_hewani,consistent_meal_component_taxonomy_v1,kambing,kambing,True,indonesian_food_recipes,mie aceh,mie daging kambing sapi minyak goreng bawang putih halus bawang merah halus udang kupas kaldu sapi btg daun seledri kecap manis cabe giling tomat btg daun bawang taoge suka garam lada bumbu halus cabe giling bawang putih bawang merah kapulaga kunyit jinten lada,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,ok,original,google_image_refresh_v1
FD0272,mie ayam,mie ayam,102.0,6.2,3.9,10.5,https://awsimages.detik.net.id/community/media/visual/2022/10/12/resep-mie-ayam-kecap_43.jpeg?w=1200,indonesian_food_nutrition_dataset,0,0,0.1,other,olahan,ayam,lunch,True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,1,exact_name,lauk_hewani,lauk_hewani,consistent_meal_component_taxonomy_v1,ayam,ayam,True,indonesian_food_recipes,mie ayam,ayam fillet ceker ayam suka tetelan ayam minyak ayam kulit ayam minyak goreng bawang putih cincang tambahan mie kuning sawi daun bawang daun seledri serai geprek daun jeruk daun salam laos geprek bawang goreng kecap manis kecap asin sambal cabe rawit bawang putih bumbu dihaluskan bawang merah bawang putih jahe kunyit kemiri merica bubuk,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,animal_base_ayam,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,ok,original,google_image_refresh_v1
FD0273,mie bakso,mie bakso,114.0,5.3,3.0,16.4,https://upload.wikimedia.org/wikipedia/commons/e/ed/MIE_KERING_MAKASSAR.jpg,indonesian_food_nutrition_dataset,0,0,0.2,berkuah,berkuah,terigu,lunch,True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,2,exact_name,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0274,mie goreng,mie goreng,468.0,7.6,20.4,62.4,https://upload.wikimedia.org/wikipedia/commons/e/ed/MIE_KERING_MAKASSAR.jpg,indonesian_food_nutrition_dataset,0,0,4.4,gorengan,gorengan,terigu,"lunch,dinner",True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,2,exact_name,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,complete_menu,complete,standalone_complete_menu,complete_menu_all_meals,keep,,complete,True,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0275,mie pangsit basah,mie pangsit basah,105.0,5.9,4.9,9.4,https://sweetrip.id/wp-content/uploads/2020/08/bakmisibos_116436440_1141684466204653_5039711773118966116_n.jpg,indonesian_food_nutrition_dataset,0,0,-0.3,mentah_segar,mentah_segar,terigu,lunch,True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,2,exact_name,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,staple,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,rice_noodle_staple,staple,needs_traditional_protein_and_vegetable,main_meal_component,keep,,staple,True,ok,original,google_image_refresh_v1
FD0276,mie sagu,mie sagu,190.0,0.2,0.4,46.5,https://upload.wikimedia.org/wikipedia/commons/e/ed/MIE_KERING_MAKASSAR.jpg,indonesian_food_nutrition_dataset,0,0,-0.4,other,olahan,terigu,lunch,True,False,False,False,False,False,False,False,False,False,False,False,False,low,indonesian_nutrition,keyword_from_food_name_or_ingredients,2,exact_name,karbohidrat_utama,karbohidrat_utama,consistent_meal_component_taxonomy_v1,gandum,gandum,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,staple,medium,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,rice_noodle_staple,staple,needs_traditional_protein_and_vegetable,main_meal_component,keep,,staple,True,refreshed,google_or_manual_refresh,google_image_refresh_v1
FD0277,mujair acar kuning,mujair acar kuning,330.0,17.8,23.4,12.1,https://img-global.cpcdn.com/recipes/8bebe8ed6c7b4f07/680x482cq70/ikan-mujair-acar-kuning-foto-resep-utama.jpg,indonesian_food_nutrition_dataset,0,0,-0.2,olahan,olahan,ikan,"lunch,dinner",False,False,False,False,True,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,1,not_matched,lauk_hewani,lauk_hewani,consistent_meal_component_taxonomy_v1,ikan,ikan,False,,,,True,True,True,breakfast|lunch|dinner,lunch,name_based_label_fix_v4_pass2,,False,,,,,False,False,True,menu,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,traditional_protein,protein,traditional_protein_for_rice_noodle,main_meal_component,keep,,protein,True,ok,original,google_image_refresh_v1
FD0278,nanas,nanas,52.0,0.4,0.2,13.7,https://awsimages.detik.net.id/community/media/visual/2022/07/04/diet-nanas-bikin-bb-turun-1-kg-seminggu-apa-aman-untuk-kesehatan-3.jpeg?w=682,indonesian_food_nutrition_dataset,0,0,-6.2,other,olahan,buah,"lunch,dinner",False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,not_matched,not_matched,0,not_matched,buah,buah,consistent_meal_component_taxonomy_v1,buah,buah,False,,,,True,False,False,breakfast,lunch,name_based_label_fix_v4_pass2,fruit_keyword,False,,,,,False,False,True,fruit,high,,halal_candidate,True,False,,,medium,halal_context_rules_v1,name_based_menu_ready_v4_pass2,fruit_side,fruit,fruit_side_or_snack,breakfast_or_light_meal_only,keep,,fruit,False,ok,original,google_image_refresh_v1
